k,count,ars,homogeneity,completeness,v_measure
10,10,0.3074166751128708,0.44852355523506887,0.5709122172166141,0.5023711827912498
11,11,0.26840331132760303,0.41960536946596294,0.5315915395113252,0.4690062851054863
12,12,0.3176835790901213,0.45793871579528644,0.5559423889703493,0.5022039417927503
13,13,0.2767993066648337,0.43270881376913867,0.49802547465893776,0.4630752622865988
14,14,0.2825026529855395,0.43663035290611396,0.5007381326449523,0.466492037956194
15,15,0.2902083711131459,0.4569105018794373,0.4871783137634122,0.4715592095958638
16,16,0.2914007448162703,0.4690667422544511,0.5081274454859892,0.48781642071636616
17,16,0.30288214289083815,0.48654350803508245,0.5015620114452185,0.4939386244376785
18,16,0.26464184663872276,0.4762558014020035,0.45848393643591023,0.4672009239326746
19,18,0.26339718307721904,0.47536729435519226,0.4605978384510209,0.46786603597902376
20,20,0.25536480035717957,0.4760156028407811,0.46007745231827785,0.46791084414470535
21,19,0.3601201688611602,0.5690040435978538,0.5094782997265767,0.5375984400007462
22,21,0.3069832647797052,0.5605740075549344,0.4911489289913411,0.5235700655823355
23,20,0.2702135883082605,0.49586066412695845,0.45625203249173735,0.4752324733071627
24,22,0.3718450933662964,0.5808199688291987,0.5205068859044689,0.5490119340085042
25,23,0.3587186658571019,0.5751201511382995,0.5017504614206666,0.5359358828081386
26,24,0.33349752348642003,0.5596635984428304,0.4853541589661406,0.5198668696303858
27,25,0.39656697717340816,0.6216447037172846,0.529937007207423,0.5721392250485677
28,24,0.3427775769392547,0.5617012301703913,0.4858013703770164,0.5210015272833344
29,25,0.4257058694016586,0.6430511124472408,0.5427164727995033,0.5886388461269022
30,26,0.40495230462428444,0.6381925687739588,0.5270640016092746,0.5773292125436014
31,27,0.3166641496993318,0.5853630737120384,0.4869423573518303,0.5316359812469806
32,28,0.34881836717051207,0.6059515176105367,0.49774867553396246,0.5465461856432807
33,30,0.3713904253152635,0.6293579050523908,0.5170409371589904,0.5676973650967919
34,31,0.4015358340624236,0.6288360309795645,0.5124275033651163,0.5646949502612731
35,32,0.3443997999536843,0.6160413184699504,0.49518387769350125,0.5490403384526864
36,33,0.43312063162541176,0.6537890504339818,0.5431738356454142,0.5933702880134972
37,33,0.3521114320885378,0.640074391308722,0.4981738731432585,0.5602790684185257
38,33,0.35382496648453676,0.6213619877466869,0.48823592820576456,0.5468129355287698
39,32,0.41000242235245643,0.6469339796360469,0.5089155925520911,0.5696844944369137
40,34,0.3678704012673823,0.6545217837873056,0.5068324537545252,0.5712862983388567
41,33,0.36822809667058537,0.6540981985898408,0.5102282240074503,0.573274565818899
42,34,0.32112146571698735,0.6137116180939224,0.47565728777713284,0.5359367284427041
43,37,0.3852132254779467,0.6792904922399257,0.5172964521327343,0.5873280888710338
44,37,0.32622259278889815,0.639302377781953,0.48253657877974737,0.5499662502827243
45,39,0.3480587716333351,0.6276345936138857,0.47846319717947783,0.5429900625794538
46,38,0.3928805675965826,0.6558235938681349,0.5000669873628355,0.5674511656247743
47,38,0.37423759386934363,0.6569496730833311,0.5032689787729293,0.5699311772809158
48,38,0.3323257571850099,0.6281567034463442,0.4732219365114479,0.5397917134999424
49,41,0.3254094696432211,0.638280242896723,0.470886356864301,0.5419518732368173
50,40,0.29782299032825277,0.6395189380939406,0.46711074389692075,0.5398846095864909
51,40,0.30560566487072083,0.6595280882980241,0.4717093141303116,0.5500269731409366
52,46,0.35398599179866136,0.6661863563803087,0.4847622512192048,0.5611753569500985
53,45,0.3857439534274389,0.6794758599858195,0.49912583760931095,0.5755022386998643
54,42,0.3760689152788264,0.658061933196242,0.49089603359580236,0.5623182086780197
55,48,0.3541669151587448,0.6616376578567754,0.4848916521643113,0.559641300485195
56,48,0.2565191380606129,0.643026394184755,0.44699906146526774,0.5273862059057589
57,47,0.3444446171884282,0.6672846219925895,0.4772468432621119,0.5564888149797538
58,44,0.3072896722900035,0.6577748490958467,0.4701634885434774,0.548366355512519
59,48,0.2875576915643264,0.6748642094676488,0.4634954643976563,0.5495565371012542
60,46,0.30449560710998347,0.6543035142219477,0.45575100200552204,0.537269977038282
61,48,0.31148053357150557,0.665964814187042,0.4576220287007564,0.5424772837822022
62,45,0.28988713692315976,0.6627171699626508,0.4563900999832529,0.5405336263689773
63,48,0.3292636614740533,0.6693390856129158,0.4643429226892714,0.5483069591077431
64,53,0.28551363865903856,0.6695807021948659,0.4630197735983912,0.5474641972386223
65,51,0.3158541200180947,0.6838526379329587,0.4701731366430474,0.557230430831049
66,51,0.30722993900189977,0.6746678160956951,0.46181215448933566,0.5483067115655011
67,52,0.28748257840933283,0.6647724965149353,0.4514232202459526,0.5377081036980895
68,51,0.3323770537845989,0.6816322405631808,0.4741503393411375,0.5592680903628916
69,51,0.27690330131732815,0.6784591255724791,0.45045852547811893,0.5414348814869493
70,51,0.2583652161430515,0.6503188543238461,0.4392284104430007,0.5243251502758814
71,52,0.28295189234030066,0.6732109936800479,0.44548506019091266,0.536169657527609
72,50,0.25126720280811954,0.6557331750747812,0.4389610675158483,0.5258844403076365
73,55,0.32231335072964157,0.702034390221027,0.47023469369100657,0.5632169797474746
74,55,0.308580925546879,0.6814290114589696,0.4547701584659692,0.5454916492237484
75,53,0.3043535748545854,0.6888456445266851,0.46399256085091223,0.5544910866833159
76,54,0.28817678146535924,0.6904788133736475,0.46565081409729736,0.5562041036310266
77,58,0.2514844030080961,0.6724022522771925,0.438042658413497,0.5304916385766887
78,59,0.2969894615457848,0.6952269178756011,0.45744534187133085,0.5518104776731225
79,60,0.2455498152843646,0.6756318123291039,0.4407943049125031,0.533514310518287
80,60,0.25527035353696004,0.6925784956206158,0.44993922377128676,0.5454939130153397
81,58,0.28680284935058686,0.6886899736470901,0.45604318908766556,0.5487259076593949
82,60,0.27687787815461357,0.6938223555594042,0.4396885226175186,0.5382669586119407
83,54,0.27674905447919146,0.6785428722973866,0.45019233630011196,0.5412691987147533
84,61,0.30417863040656706,0.707342193749664,0.4543776634072149,0.5533184119136629
85,59,0.25419415105992993,0.6904200199778174,0.44633702137153464,0.5421739281181538
86,62,0.23923370909258962,0.6883247567729132,0.4414301838820867,0.5378995267357674
87,62,0.2826879820390422,0.680067624722686,0.44390438445891955,0.5371752995215141
88,62,0.32606057869050603,0.7096680309604874,0.46495814834511817,0.5618228836176247
89,64,0.3159200816177391,0.6838260483622427,0.4504308409571637,0.5431156644189123
90,60,0.25283324498521687,0.6889922884971771,0.442900750413732,0.5391944134549853
91,64,0.28904037184853526,0.7283922058613661,0.4626772572293029,0.5658956399077525
92,59,0.2532118170819231,0.6976080716491695,0.4465019976485709,0.5444990056914916
93,64,0.24880775629017984,0.7063988671867155,0.4513402544226416,0.5507738980034156
94,64,0.27676049323541946,0.6804492492837608,0.44150792845104964,0.5355351245648954
95,68,0.23796233857393945,0.7072696359064541,0.44151879681617107,0.5436559592264404
96,67,0.2784987424930727,0.7262693359214408,0.4594793075810938,0.5628608279084253
97,68,0.27641292288208513,0.7213307945427808,0.4536512761726481,0.557000219224989
98,68,0.28868028739072504,0.7069478560635815,0.44894469965577527,0.5491522396997196
99,69,0.2794980013173067,0.72105871150209,0.4518624196617131,0.5555690411583002
100,68,0.2585773221841449,0.6877089753367395,0.43169718653965383,0.5304277212719521
